Names,Low,High,csp,TradingView,Groww_link,Grow Url,Hyper_link_Grow,scraper_links
ICICI Prudential Nifty 100 ETF,178,225,,,https://groww.in/etfs/icici-prudential-nifty-etf-246894,,,https://economictimes.indiatimes.com/icici-prudential-nifty-100-etf/mffactsheet/schemeid-20933.cms?from=mdr
ICICI Prudential Nifty 100 Low Volatility 30 ETF,133,170,,,https://groww.in/etfs/icici-prudential-nifty-low-vol-etf,,,https://economictimes.indiatimes.com/icici-prudential-nifty-100-low-volatility-30-etf/mffactsheet/schemeid-34396.cms?from=mdr
ICICI Pru Nifty Alpha Low- Volatility 30 ETF,161,205,,,https://groww.in/etfs/icici-prudential-alpha-low-vol-etf-a-scheme-under-icici-prudential-mutual-fund,,,https://economictimes.indiatimes.com/icici-prudential-nifty-alpha-low-volatility-30-etf/mffactsheet/schemeid-41071.cms?from=mdr
ICICI Prudential Nifty India Consumption ETF,71,100,,,https://groww.in/etfs/icici-prudential-mutual-fund-icici-prudential-consumption-etf,,,https://economictimes.indiatimes.com/icici-prudential-nifty-india-consumption-etf/mffactsheet/schemeid-41802.cms?from=mdr
ICICI Prudential Nifty 50 ETF-IDCW,172,228,,,https://groww.in/etfs/icici-prudential-nifty-etf,,,https://economictimes.indiatimes.com/icici-prudential-nifty-50-etf/mffactsheet/schemeid-18653.cms?from=mdr
ICICI Prudential Nifty Midcap 150 ETF,112,159,,,https://groww.in/etfs/icici-prudential-asset-management-company-ltd-icicim,,,https://economictimes.indiatimes.com/icici-prudential-nifty-midcap-150-etf/mffactsheet/schemeid-40555.cms?from=mdr
ICICI Prudential Nifty Next 50 ETF,37,52,,,https://groww.in/etfs/icici-prudential-asset-management-company-ltd-icicinxt,,,https://economictimes.indiatimes.com/icici-prudential-nifty-next-50-etf/mffactsheet/schemeid-37322.cms?from=mdr
ICICI Prudential Nifty Private Bank ETF - Growth,194,238,,,https://groww.in/etfs/icici-prudential-private-banks-etf,,,https://economictimes.indiatimes.com/icici-prudential-nifty-private-bank-etf/mffactsheet/schemeid-40210.cms?from=mdr
ICICI Prudential S&P BSE Liquid Rate ETF,990,1200,,,https://groww.in/etfs/icici-prudential-asset-management-company-ltd-iciciliq,,,https://economictimes.indiatimes.com/icici-prudential-sp-bse-liquid-rate-etf/mffactsheet/schemeid-37659.cms?from=mdr
ICICI Prudential S&P BSE Sensex ETF,626,755,,,https://groww.in/etfs/icici-prudential-sensex-etf,,,https://economictimes.indiatimes.com/icici-prudential-sp-bse-sensex-etf/mffactsheet/schemeid-1512.cms?from=mdr
Invesco India Nifty 50 ETF,1844,2278,,,https://groww.in/etfs/invesco-india-nifty-exchange-traded-fund,,,https://economictimes.indiatimes.com/invesco-india-nifty-50-etf/mffactsheet/schemeid-12761.cms?from=mdr
Kotak IT ETF,27,34,,,https://groww.in/etfs/kotak-mahindra-asset-management-company-ltd-kotakit,,,https://economictimes.indiatimes.com/kotak-nifty-it-etf/mffactsheet/schemeid-41345.cms?from=mdr
Kotak Nifty 50 ETF-IDCW,179,218,,,https://groww.in/etfs/kotak-mahindra-mutual-fundkotak-nifty-etf,,,https://economictimes.indiatimes.com/kotak-nifty-50-etf/mffactsheet/schemeid-10843.cms?from=mdr
Kotak Nifty Alpha 50 ETF,24,36,,,https://groww.in/etfs/kotak-nifty-alpha-etf,,,https://economictimes.indiatimes.com/kotak-nifty-alpha-50-etf/mffactsheet/schemeid-41896.cms?from=mdr
Kotak Nifty Bank ETF,391,475,,,https://groww.in/etfs/kotak-banking-etf,,,https://economictimes.indiatimes.com/kotak-nifty-bank-etf/mffactsheet/schemeid-28873.cms?from=mdr
Kotak Nifty PSU Bank ETF,290,541,,,https://groww.in/etfs/kotak-mahindra-mutual-fund-kotak-psu-bank-etf,,,https://economictimes.indiatimes.com/kotak-nifty-psu-bank-etf/mffactsheet/schemeid-6157.cms?from=mdr
Kotak Nifty 50 Value 20 ETF-IDCW,94,119,,,https://groww.in/etfs/kotak-mahindra-asset-management-co-ltd-kotaknv,,,https://economictimes.indiatimes.com/kotak-nifty-50-value-20-etf/mffactsheet/schemeid-31271.cms?from=mdr
LIC Nomura MF ETF - Nifty 100,178,218,,,https://groww.in/etfs/lic-nomura-mutual-fund-asset-management-co-ltd-licnfnhgp,,,https://economictimes.indiatimes.com/lic-mf-nifty-100-etf/mffactsheet/schemeid-32018.cms?from=mdr
LIC Nomura MF ETF - NIFTY 50 - Growth Plan,181,224,,,https://groww.in/etfs/lic-nomura-mf-etfnifty-,,,https://economictimes.indiatimes.com/lic-mf-nifty-50-etf/mffactsheet/schemeid-31217.cms?from=mdr
LIC MF ETF,612,800,,,https://groww.in/etfs/lic-nomura-mf-exchange-traded-fund-sensex,,,https://economictimes.indiatimes.com/lic-mf-sp-bse-sensex-etf-sensex/mffactsheet/schemeid-31256.cms?from=mdr
Motilal Oswal Nifty Midcap 100 ETF-Growth,30,44,,,https://groww.in/etfs/motilal-oswal-most-shares-m-etf,,,https://economictimes.indiatimes.com/motilal-oswal-nifty-midcap-100-etf/mffactsheet/schemeid-12012.cms?from=mdr
Nippon India ETF Nifty 50 Shariah BeES,380,458,,,https://groww.in/etfs/reliance-etf-shariah-bees,,,https://economictimes.indiatimes.com/nippon-india-etf-nifty-50-shariah-bees/mffactsheet/schemeid-10218.cms?from=mdr
Nippon India ETF Nifty Bank BeES,385,471,,,https://groww.in/etfs/reliance-etf-bank-bees,,,https://m.economictimes.com/nippon-india-etf-nifty-bank-bees/mffactsheet/schemeid-2255.cms
Nippon India ETF Nifty Infrastructure BeES,509,658,,,https://groww.in/etfs/reliance-etf-infra-bees,,,https://economictimes.indiatimes.com/nippon-india-etf-nifty-infrastructure-bees/mffactsheet/schemeid-11650.cms?from=mdr
Quantum Nifty 50 ETF,1773.8,2300.22,,,https://groww.in/etfs/quantum-index-fund-exchange-traded-fund-etf,,,https://economictimes.indiatimes.com/quantum-nifty-50-etf/mffactsheet/schemeid-7834.cms?from=mdr
SBI - ETF Quality,142,178,,,https://groww.in/etfs/sbi-etf-quality,,,https://m.economictimes.com/sbi-nifty-200-quality-30-etf/mffactsheet/schemeid-38348.cms
SBI ETF Consumption,70,100,,,https://groww.in/etfs/sbi-mutual-fund-sbi-etf-consumption,,,https://m.economictimes.com/sbi-nifty-consumption-etf/mffactsheet/schemeid-41572.cms
SBI ETF IT,276,353,,,https://groww.in/etfs/sbi-etf-it-sbietfit,,,https://m.economictimes.com/sbi-nifty-it-etf/mffactsheet/schemeid-41150.cms
SBI ETF Nifty 50,166,216,,,https://economictimes.indiatimes.com/sbi-nifty-50-etf/mffactsheet/schemeid-30710.cms?from=mdr,,,https://economictimes.indiatimes.com/sbi-nifty-50-etf/mffactsheet/schemeid-30710.cms?from=mdr
SBI ETF Nifty Bank,381,471,,,https://groww.in/etfs/sbi-etf-banking,,,https://economictimes.indiatimes.com/sbi-nifty-bank-etf/mffactsheet/schemeid-29709.cms?from=mdr
SBI ETF PRIVATE BANK,196,242,,,https://groww.in/etfs/sbi-etf-private-bank-sbietfpb,,,https://m.economictimes.com/sbi-nifty-private-bank-etf/mffactsheet/schemeid-41149.cms
SBI Nifty Next 50,385,490,,,https://groww.in/etfs/sbietf-nifty-junior,,,https://economictimes.indiatimes.com/sbi-nifty-next-50-etf/mffactsheet/schemeid-29715.cms?from=mdr
Tata Nifty ETF,171,218,,,https://groww.in/etfs/tata-asset-mngt-ltd,,,https://m.economictimes.com/tata-nifty-50-exchange-traded-fund/mffactsheet/schemeid-38578.cms
UTI Nifty 50 ETF,146,243,,,https://groww.in/etfs/uti-mutual-fund-uti-nifty-etf,,,https://m.economictimes.com/uti-nifty-50-etf/mffactsheet/schemeid-30886.cms
UTI Nifty Bank ETF,37,49,,,https://groww.in/etfs/uti-asset-management-company-ltd-utibanketf,,,https://m.economictimes.com/uti-nifty-bank-etf/mffactsheet/schemeid-41106.cms
UTI Nifty Next 50 ETF,38,52,,,https://groww.in/etfs/uti-asset-management-company-ltd-utinext,,,https://m.economictimes.com/uti-nifty-next-50-exchange-traded-fund/mffactsheet/schemeid-34503.cms
UTI S&P BSE Sensex ETF,526.7,811,,,https://groww.in/etfs/uti-mutual-fund-uti-sensex-etf,,,https://m.economictimes.com/uti-sp-bse-sensex-etf/mffactsheet/schemeid-30885.cms
UTI S&P BSE Sensex Next 50 ETF,40,62,,,https://groww.in/etfs/uti-asset-management-company-ltd-utisxn,,,https://m.economictimes.com/uti-sp-bse-sensex-next-50-etf/mffactsheet/schemeid-39221.cms
Nippon india etf psu bank bees,31,61,,Link,https://groww.in/etfs/reliance-etf-psu-bank-bees,Grow_link,https://groww.in/etfs/reliance-etf-psu-bank-bees,https://economictimes.indiatimes.com/nippon-india-etf-nifty-psu-bank-bees/mffactsheet/schemeid-6175.cms?from=mdr
